lvl;url;name
0;https://www.livelib.ru/genre/Бизнес-книги;Бизнес-книги;145883
1;https://www.livelib.ru/genre/Банковское-дело;Банковское дело;8681
1;https://www.livelib.ru/genre/Бухучет-налогообложение-аудит;Бухучет, налогообложение, аудит;7468
1;https://www.livelib.ru/genre/Государственное-и-муниципальное-управление;Государственное и муниципальное управление;389
1;https://www.livelib.ru/genre/Делопроизводство;Делопроизводство;5262
1;https://www.livelib.ru/genre/Зарубежная-деловая-литература;Зарубежная деловая литература;5017
1;https://www.livelib.ru/genre/Интернет-бизнес;Интернет-бизнес;2603
1;https://www.livelib.ru/genre/Кадровый-менеджмент;Кадровый менеджмент;15409
2;https://www.livelib.ru/genre/Гендерные-различия;Гендерные различия;1
2;https://www.livelib.ru/genre/Коучинг;Коучинг;671
2;https://www.livelib.ru/genre/Мотивация;Мотивация;1720
2;https://www.livelib.ru/genre/Поиск-и-подбор-персонала;Поиск и подбор персонала;2
2;https://www.livelib.ru/genre/Управление-персоналом;Управление персоналом;10774
1;https://www.livelib.ru/genre/Корпоративная-культура;Корпоративная культура;342
1;https://www.livelib.ru/genre/Личная-эффективность;Личная эффективность;871
1;https://www.livelib.ru/genre/Личные-финансы;Личные финансы;1109
1;https://www.livelib.ru/genre/Логистика;Логистика;164
1;https://www.livelib.ru/genre/Малый-бизнес;Малый бизнес;1040
1;https://www.livelib.ru/genre/Маркетинг-pr-реклама;Маркетинг, PR, реклама;12784
2;https://www.livelib.ru/genre/Pr;PR;1215
2;https://www.livelib.ru/genre/Брендинг;Брендинг;530
2;https://www.livelib.ru/genre/Интернет-маркетинг;Интернет-маркетинг;21
2;https://www.livelib.ru/genre/Исследования-и-анализ;Исследования и анализ;5
2;https://www.livelib.ru/genre/Клиентский-сервис;Клиентский сервис;2
2;https://www.livelib.ru/genre/Копирайтинг;Копирайтинг;6
2;https://www.livelib.ru/genre/Маркетинг-для-новичков;Маркетинг для новичков;1
2;https://www.livelib.ru/genre/Отношения-с-клиентами;Отношения с клиентами;248
2;https://www.livelib.ru/genre/Партизанский-маркетинг;Партизанский маркетинг;1
2;https://www.livelib.ru/genre/Привлечение-клиентов;Привлечение клиентов;1
2;https://www.livelib.ru/genre/Реклама;Реклама;618
2;https://www.livelib.ru/genre/Стратегия-маркетинга;Стратегия маркетинга;1
1;https://www.livelib.ru/genre/Менеджмент;Менеджмент;30793
2;https://www.livelib.ru/genre/Mba;MBA;247
2;https://www.livelib.ru/genre/Project-менеджмент;Project-менеджмент;2
2;https://www.livelib.ru/genre/Бизнес-процессы;Бизнес-процессы;1802
2;https://www.livelib.ru/genre/Классика-менеджмента;Классика менеджмента;5
2;https://www.livelib.ru/genre/Кризисное-управление;Кризисное управление;9
2;https://www.livelib.ru/genre/Лидерство;Лидерство;2421
2;https://www.livelib.ru/genre/Организационный-менеджмент;Организационный менеджмент;19
2;https://www.livelib.ru/genre/Стратегический-менеджмент;Стратегический менеджмент;486
2;https://www.livelib.ru/genre/Управление-бизнесом;Управление бизнесом;1860
2;https://www.livelib.ru/genre/Управление-качеством;Управление качеством;429
2;https://www.livelib.ru/genre/Финансовый-менеджмент;Финансовый менеджмент;1014
1;https://www.livelib.ru/genre/Менеджмент-и-кадры;Менеджмент и кадры;23
1;https://www.livelib.ru/genre/Недвижимость;Недвижимость;1555
1;https://www.livelib.ru/genre/О-бизнесе-популярно;О бизнесе популярно;17122
2;https://www.livelib.ru/genre/Бизнес-план;Бизнес-план;2
2;https://www.livelib.ru/genre/Бизнес-стратегии;Бизнес-стратегии;9
2;https://www.livelib.ru/genre/Инновации-в-бизнесе;Инновации в бизнесе;20
2;https://www.livelib.ru/genre/Истории-успеха;Истории успеха;1466
2;https://www.livelib.ru/genre/Креатив-идеи;Креатив, идеи;36
2;https://www.livelib.ru/genre/Привлечение-инвестиций;Привлечение инвестиций;1
2;https://www.livelib.ru/genre/Просто-о-бизнесе;Просто о бизнесе;2
2;https://www.livelib.ru/genre/Российская-практика;Российская практика;34
2;https://www.livelib.ru/genre/Советы-от-гуру;Советы от гуру;156
